genes_ens	genes_symb	DMSO_24h_1	DMSO_24h_2	DMSO_24h_3	DMSO_24h_4	Enz_1uM_24h_1	Enz_1uM_24h_2	Enz_1uM_24h_3	Enz_1uM_24h_4	siCon_48h_1	siCon_48h_2	siCon_48h_3	siCon_48h_4	siAR_48h_1	siAR_48h_2	siAR_48h_3	siAR_48h_4
ENSG00000274523	RCC1L	116.9971391	102.1030955	118.6662389	117.4585212	97.67231941	93.92554968	95.80332975	112.1178491	119.8024122	129.8407368	117.4017906	162.8156943	95.73017013	138.2919578	63.20613093	130.3855341
ENSG00000274528	CTD-2650P22.2	4.436824729	3.613932219	4.39721735	2.817595711	3.335660855	3.727204352	2.601836307	2.032545802	7.616209034	7.041627263	6.004946377	4.767663084	5.339316531	4.881679363	3.456585285	2.889082163
ENSG00000274559	CH507-42P11.1	6.558784382	8.635395933	8.266768618	9.15718606	9.729010827	9.028117209	7.666124834	7.867919232	9.006028201	9.675081361	10.53410085	10.64778089	8.844928395	10.43208193	8.592083423	7.285511541
ENSG00000274560	RP11-285E23.2	1.543243384	0.760827836	0.703554776	0.704398928	0.62543641	0.704027489	0.789843165	0.590093942	0.611520433	0.686988026	1.42490253	1.191915771	1.779772177	0.869340161	0.592557477	1.444541081
ENSG00000274561	RP11-147L13.12	3.375844903	1.027117578	1.113961729	1.408797855	1.077140484	1.076747924	1.858454505	0.72122593	1.0006698	0.80148603	1.42490253	1.11245472	0.755054863	2.741765122	0.987595796	0.62806134
ENSG00000274600	RIMBP3B	0.385810846	1.29340732	1.055332164	1.232698123	1.528844559	1.325228214	1.254456791	0.983489904	1.223040867	1.488474056	1.933796291	1.589221028	1.564042216	1.538063361	1.185114955	1.444541081
ENSG00000274602	PI4KAP1	7.330406074	9.85272047	11.13961729	10.47793405	10.94513718	9.110943972	10.12857705	11.40848289	11.22973887	9.217089344	9.160087693	9.932631425	9.546050768	10.49895425	4.542940661	9.609338498
ENSG00000274605	RP11-12G12.7	16.97567722	18.86853032	20.22719981	18.84267132	15.87913553	14.45327021	14.1707156	14.88348055	25.57267267	27.13602701	25.49557741	24.07669857	20.60221126	24.14090753	14.81393694	15.95275803
ENSG00000274611	TBC1D3	1.446790673	1.521655671	2.169293893	2.113196783	2.605985043	1.94642894	2.741220395	2.950469712	1.3342264	2.289960085	1.832017539	1.668682079	1.564042216	2.006169601	0.888836216	1.884184019
ENSG00000274615	CH17-258A22.4	7.426858786	11.18416918	9.263471217	10.03768472	11.81379886	12.79673494	12.49810655	10.75282295	10.45144013	10.24757138	11.65366712	7.628260935	11.27189045	7.890933765	13.5300624	10.36301211
ENSG00000274627	RP11-104N10.2	6.655237094	14.49377027	12.66398597	13.55967936	16.2266002	19.6713563	17.05132009	20.78441997	6.226389868	5.209659194	7.429848907	5.959578855	7.173021198	5.751019523	6.913170571	12.43561453
ENSG00000274641	HIST1H2BO	1.157432538	1.331448712	0.87944347	0.792448794	1.216126353	1.490881741	0.975688615	1.245753878	1.445411934	1.316727049	1.17045565	1.509759977	1.564042216	1.538063361	1.481393694	0.94209201
ENSG00000274653	RP11-347C12.11	0.771621692	0.989076186	1.055332164	0.704398928	1.181379886	1.325228214	1.300918154	1.508017853	1.278633634	2.003715075	1.475791906	2.940058902	1.294379765	2.741765122	0.493797898	1.256122679
ENSG00000274667	RP11-31H5.3	2.314865076	2.282483507	2.579700845	2.993695443	3.161928519	3.147417009	1.579686329	2.229243782	2.446081734	3.663936137	2.646247556	3.178442056	2.912354471	2.073041921	3.950383183	2.512245359
ENSG00000274698	RP11-71L14.4	0.771621692	0.951034794	1.465739117	0.264149598	0.799168746	0.704027489	0.511074989	0.655659936	0.889484267	0.400743015	0.814230017	0.317844206	1.078649804	3.142999042	0.691317057	1.256122679
ENSG00000274712	RP11-147L13.15	5.980068113	6.276829643	6.801029501	6.691789813	7.053532849	6.584727689	6.551052131	5.704241443	6.170797101	5.495904205	5.648720744	6.833650421	8.952793375	9.897103366	9.28340048	8.478828086
ENSG00000274750	HIST1H3E	7.523311497	6.086622684	8.266768618	6.955939411	7.505236924	7.081688269	7.898431647	5.966505417	6.671132001	7.614117284	8.803862061	6.754189369	11.27189045	11.30142209	8.295804685	8.792858756
ENSG00000274791	F8A2	3.954561172	4.07042892	5.159401691	8.981086328	5.767913562	5.176672711	5.017827164	6.818863334	4.503014101	3.034197113	3.307809445	8.581793551	4.422464197	4.747934723	1.876432012	4.89887845
ENSG00000274798	CTD-2129N1.1	0.578716269	1.331448712	0.703554776	1.408797855	1.216126353	1.076747924	1.440302242	1.508017853	1.5010047	0.973233036	0.661561889	0.715149463	1.078649804	2.340531201	2.073951171	1.067704278
ENSG00000274808	TBC1D3B	1.350337961	1.978152372	2.462441716	2.201246649	2.084788034	2.733283192	2.555374945	3.999525609	0.945077033	1.431225053	1.475791906	0.953532617	1.294379765	0.869340161	0.493797898	0.62806134
ENSG00000274818	RP1-292L20.3	1.639696096	1.749904022	1.641627811	1.408797855	1.841562764	1.656535268	1.393840879	1.442451859	1.723375767	1.259478047	1.068676898	1.11245472	1.617974706	1.939297281	1.382634114	1.632959483
ENSG00000274827	LINC01297	4.147466595	1.597738455	1.700257375	1.672947453	1.250872821	1.615121886	1.858454505	1.442451859	0.889484267	0.858735032	1.374013154	0.874071565	0.916852334	1.003084801	0.592557477	0.502449072
ENSG00000274828	RP11-567M16.6	23.82381974	19.66739955	19.11323808	20.6917185	19.87497926	18.18047456	20.44299956	18.35847821	21.95914284	22.84235185	21.72976358	25.26861435	23.1370383	24.07403521	24.78865447	24.05474931
ENSG00000274835	RP11-566K19.11	1.736148807	2.624856033	1.876146069	1.232698123	1.980548633	2.236322611	1.811993143	1.311319872	1.1674481	1.030482038	1.67934941	1.827604182	1.024717314	1.337446401	0.790076637	1.256122679
ENSG00000274849	RP11-49I11.4	1.543243384	1.179283145	1.231220858	0.792448794	0.938154615	1.532295123	1.719070417	0.983489904	1.1674481	1.316727049	1.119566274	0.715149463	0.970784824	1.203701761	0.592557477	2.198214689
ENSG00000274897	PANO1	1.736148807	0.951034794	0.938073035	0.968548526	1.181379886	1.118161306	1.440302242	1.573583846	0.389149367	0.228996009	0.814230017	0.953532617	1.456177236	0.46810624	1.086355375	0.816479742
ENSG00000274904	CTD-2515O10.5	4.919088287	1.141241753	0.644925211	0.968548526	0.694929345	0.869681016	1.022149978	0.786791923	1.0006698	0.457992017	1.068676898	0.874071565	0.485392412	1.136829441	17.97424348	1.570153349
ENSG00000274922	RP11-88E10.5	0.675168981	0.760827836	0.996702599	1.849047185	1.63308396	1.325228214	0.743381802	1.704715834	1.223040867	1.660221062	1.832017539	1.668682079	2.373029569	0.73559552	0.888836216	2.512245359
ENSG00000274925	CTD-2547G23.4	5.78716269	4.641049797	3.635033009	3.521994638	4.0305902	3.727204352	4.692597626	3.868393622	3.224380467	3.091446115	4.630933223	3.337364159	2.265164589	4.547317763	2.962787387	4.019592574
ENSG00000274933	TBC1D3I	0.964527115	1.902069589	2.110664328	1.672947453	2.571238576	1.822188794	2.369529494	2.425941763	1.778968534	1.88921707	2.086464419	0.874071565	1.833704667	1.471191041	1.876432012	2.700663761
ENSG00000274964	RP11-817I4.1	2.025506942	2.396607682	1.817516505	2.025146917	2.223773903	2.360562756	2.137222681	2.425941763	1.778968534	1.545723058	2.239132547	1.271376822	2.211232099	1.337446401	1.678912853	2.072602421
ENSG00000275004	ZNF280B	9.355913016	7.227864438	6.507881678	7.043989277	7.574729858	8.365503102	6.411668043	7.081127308	5.058941767	5.09516119	6.208503881	4.449818879	7.442683649	2.340531201	5.530536456	4.647653914
ENSG00000275011	RP11-599B13.9	1.060979827	1.673821238	1.993405199	2.641495979	1.841562764	2.153495848	1.440302242	2.622639744	1.723375767	0.973233036	0.865119393	1.430298925	0.485392412	1.738680321	0.493797898	0.816479742
ENSG00000275023	MLLT6	77.1621692	124.2431855	119.2525345	143.9615308	125.4694932	140.3499506	133.8087244	166.8654537	83.22237171	85.24376418	83.20412988	103.2199058	92.70995068	83.25603845	55.40412414	103.1904781
ENSG00000275029	HMGB1P24	5.401351844	5.439919024	5.862956467	6.955939411	6.150124701	5.549393147	5.343056703	4.458487565	5.225720067	5.324157199	5.088937607	4.926585187	5.285384041	6.219125764	5.629296036	3.579949636
ENSG00000275034	TP53TG3E	1.25388525	0.608662268	0.703554776	0.792448794	0.868661681	1.035334542	1.254456791	0.91792391	0.945077033	0.686988026	0.559783137	0.55622736	1.024717314	1.538063361	1.580153273	1.193316545
ENSG00000275052	PPP4R3B	66.64882365	51.39392029	39.92673354	40.06268901	48.15860359	49.24051083	47.34412852	42.22449988	51.08975257	44.13898065	52.92495112	46.96148138	46.70553652	42.12956162	78.61262535	44.52954899
ENSG00000275055	CTC-471J1.11	1.92905423	2.130317939	1.172591293	1.849047185	2.050041567	1.615121886	1.533224967	1.376885866	2.390488967	3.263193122	2.544468804	1.827604182	2.265164589	3.677977602	1.777672432	2.072602421
ENSG00000275066	SYNRG	65.58784382	68.51254659	64.43389157	55.11921609	70.91753963	81.29446826	75.17448474	64.38580571	61.76356378	59.30996621	63.71349884	44.81603299	62.61562114	58.51328003	73.97092511	67.64220629
ENSG00000275074	NUDT18	11.7672308	13.50469408	15.88861202	18.31437212	14.1070657	15.28153784	13.56671789	15.4080085	15.73275297	16.88845563	14.19813592	22.80532175	10.35503812	14.37754881	5.234257718	15.82714576
ENSG00000275111	ZNF2	4.726182864	6.048581292	5.393919949	4.57859303	5.872152963	4.88677904	4.971365802	4.91744952	4.447421334	5.09516119	4.681822599	3.734669416	6.525831316	4.079211522	6.320613093	5.21290912
ENSG00000275113	GAGE2E	21.41250195	24.34649074	26.55919279	23.06906488	24.32252707	20.25114365	22.44083815	21.44007991	29.74213017	36.46761436	29.66850625	28.76490061	31.01118187	44.60383747	25.08493321	31.59148539
ENSG00000275131	CH17-472G23.4	3.086486768	3.575890827	4.045439962	3.962243968	5.594181225	5.839286819	5.203672615	4.524053558	5.726054968	4.179177156	4.427375718	5.164968341	5.01572159	4.212956162	6.616891832	3.768368038
