	featureCounts HCT116 KO 47 A: Counts
ENSG00000276470	0
ENSG00000278852	0
ENSG00000175206	3.211274946
ENSG00000275915	0
ENSG00000120937	0
ENSG00000224904	6.422549892
ENSG00000199347	0
ENSG00000201801	0
ENSG00000116685	3519.557341
ENSG00000083444	6518.88814
ENSG00000116688	4932.518317
ENSG00000270914	0
ENSG00000116691	928.0584594
ENSG00000202461	0
ENSG00000276869	0
ENSG00000243539	0
ENSG00000120949	4.281699928
ENSG00000201135	0
ENSG00000227875	0
ENSG00000028137	7.492974874
ENSG00000263676	0
ENSG00000225196	1.070424982
ENSG00000252969	0
ENSG00000048707	667.9451888
ENSG00000239149	0
ENSG00000229484	0
ENSG00000162496	1516.792199
ENSG00000221340	1.070424982
ENSG00000276830	1.070424982
ENSG00000272482	14.98594975
ENSG00000204518	0
ENSG00000226166	0
ENSG00000188984	6.422549892
ENSG00000157330	4.281699928
ENSG00000116726	1.070424982
ENSG00000116721	5.35212491
ENSG00000228338	1.070424982
ENSG00000239810	1.070424982
ENSG00000231103	0
ENSG00000179172	19.26764968
ENSG00000120952	1.070424982
ENSG00000243073	2.140849964
ENSG00000187545	6.422549892
ENSG00000204510	0
ENSG00000207434	0
ENSG00000234064	0
ENSG00000232423	0
ENSG00000274178	0
ENSG00000274764	0
ENSG00000229571	0
ENSG00000277058	0
ENSG00000277862	0
ENSG00000236179	0
ENSG00000275774	1.070424982
ENSG00000229978	0
ENSG00000233336	0
ENSG00000280267	0
ENSG00000179412	0
ENSG00000204505	0
ENSG00000279169	0
ENSG00000279804	0
ENSG00000250894	0
ENSG00000270601	0
ENSG00000231219	0
ENSG00000207511	0
ENSG00000182330	0
ENSG00000204501	1.070424982
ENSG00000237700	0
ENSG00000228229	0
ENSG00000204481	1.070424982
ENSG00000204480	1.070424982
ENSG00000204479	1.070424982
ENSG00000204478	2.140849964
ENSG00000162494	3.211274946
ENSG00000259961	1.070424982
ENSG00000215909	0
ENSG00000162493	5.35212491
ENSG00000222952	0
ENSG00000237445	1.070424982
ENSG00000253085	0
ENSG00000116731	397.1276683
ENSG00000189337	415.324893
ENSG00000252151	4.281699928
ENSG00000231606	0
ENSG00000234593	0
ENSG00000235829	0
ENSG00000175147	19.26764968
ENSG00000171729	750.3679124
ENSG00000204464	0
ENSG00000215720	2.140849964
ENSG00000278480	0
ENSG00000142621	51.38039913
ENSG00000233485	2.140849964
ENSG00000236045	1.070424982
ENSG00000228140	2.140849964
ENSG00000142634	6456.803491
ENSG00000162438	4.281699928
ENSG00000142615	0
ENSG00000215704	3.211274946
ENSG00000132906	249.4090208
ENSG00000116138	773.917262
ENSG00000251866	1.070424982
ENSG00000272510	0
ENSG00000116771	4.281699928
ENSG00000237301	1.070424982
ENSG00000235084	95.2678234
ENSG00000252417	0
ENSG00000236500	0
ENSG00000197312	963.3824838
ENSG00000215695	0
ENSG00000271742	1.070424982
ENSG00000116786	1782.257595
ENSG00000237938	4.281699928
ENSG00000162461	4.281699928
ENSG00000224459	0
ENSG00000162460	2.140849964
ENSG00000162458	37.46487437
ENSG00000224321	26.76062455
ENSG00000233954	370.3670438
ENSG00000178715	95.2678234
ENSG00000179743	26.76062455
ENSG00000065526	1517.862624
ENSG00000270620	0
